"Search.Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Country"	"Region"	"Location.Name"	"Latitude"	"Longitude"	"Focal.Depth..km."	"Mag"	"MMI.Int"	"Deaths"	"Death.Description"	"Missing"	"Missing.Description"	"Injuries"	"Injuries.Description"	"Damage...Mil."	"Damage.Description"	"Houses.Destroyed"	"Houses.Destroyed.Description"	"Houses.Damaged"	"Houses.Damaged.Description"	"Total.Deaths"	"Total.Death.Description"	"Total.Missing"	"Total.Missing.Description"	"Total.Injuries"	"Total.Injuries.Description"	"Total.Damage...Mil."	"Total.Damage.Description"	"Total.Houses.Destroyed"	"Total.Houses.Destroyed.Description"	"Total.Houses.Damaged"	"Total.Houses.Damaged.Description"	"Mag.full"	"Freq.Country"
"34"	""	1907	4	18	20	59	48	NA	NA	"PHILIPPINES"	170	"PHILIPPINES:  SE LUZON:  CAMARINES"	14	123	NA	7.6	9	2	1	NA	NA	NA	1	NA	3	NA	NA	NA	NA	2	1	NA	NA	NA	1	NA	3	NA	NA	NA	NA	7	49
"35"	""	1907	10	21	4	23	36	NA	NA	"TAJIKISTAN"	40	"TAJIKISTAN:   KARATAG"	38.5	67.9	35	7.4	9	12000	4	NA	NA	NA	NA	NA	3	NA	3	NA	NA	12000	4	NA	NA	NA	NA	NA	3	NA	3	NA	NA	7	14
"36"	""	1907	10	23	20	28	19	3415	NA	"ITALY"	130	"ITALY:  FERRUZANO"	38.133	16.017	33	5.9	10	158	3	NA	NA	NA	NA	NA	2	NA	3	NA	NA	158	3	NA	NA	NA	NA	NA	2	NA	3	NA	NA	5	42
"37"	""	1908	12	28	4	20	27	1373	NA	"ITALY"	130	"ITALY:  MESSINA, SICILY, CALABRIA"	38.17	15.58	40	7	11	78000	4	NA	NA	NA	NA	116	4	NA	4	NA	NA	80000	4	NA	NA	NA	NA	116	4	NA	4	NA	NA	7	42
"38"	""	1909	1	19	4	56	0	NA	NA	"TURKEY"	140	"TURKEY:  FOCA,MENEMEN,GUZELHISAR"	38.6	26.9	NA	5.8	9	8	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	104
"39"	""	1909	1	23	2	48	29	NA	NA	"IRAN"	140	"IRAN:  SILAKOR"	34.306	50.396	15	7.3	9	5500	4	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5500	4	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	7	138
"40"	""	1909	4	14	19	53	42	NA	NA	"TAIWAN"	30	"TAIWAN:  TAIPEI"	25	121.5	NA	7.3	NA	9	1	NA	NA	51	2	NA	1	122	3	NA	NA	9	1	NA	NA	51	2	NA	1	122	3	NA	NA	7	54
"41"	""	1909	5	11	15	54	24	NA	NA	"CHINA"	30	"CHINA:  YUNNAN PROVINCE"	24.4	103	NA	6.5	8	21	1	NA	NA	NA	NA	NA	2	NA	3	NA	NA	21	1	NA	NA	NA	NA	NA	2	NA	3	NA	NA	6	152
"42"	""	1909	8	14	6	30	NA	1384	NA	"JAPAN"	30	"JAPAN:  OOMI"	35.4	136.3	33	6.9	NA	41	1	NA	NA	NA	NA	NA	3	976	3	NA	NA	41	1	NA	NA	NA	NA	NA	3	976	3	NA	NA	6	63
"43"	""	1909	10	20	23	41	0	NA	NA	"PAKISTAN"	60	"PAKISTAN"	30	68	60	7.2	NA	231	3	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	31
"44"	""	1909	11	21	7	36	NA	NA	NA	"TAIWAN"	30	"TAIWAN"	24.4	121.8	NA	7.3	NA	4	1	NA	NA	NA	NA	NA	1	14	1	NA	NA	4	1	NA	NA	NA	NA	NA	1	14	1	NA	NA	7	54
"45"	""	1910	4	12	0	22	13	NA	NA	"TAIWAN"	30	"TAIWAN"	25.5	122.5	200	7.8	NA	60	2	NA	NA	NA	NA	NA	1	13	1	NA	NA	60	2	NA	NA	NA	NA	NA	1	13	1	NA	NA	7	54
"46"	""	1910	6	24	13	27	NA	NA	NA	"ALGERIA"	15	"ALGERIA:  MASQUERAY,  KABYLIA"	36	4	33	6.4	11	12	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	12	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	6	22
"47"	""	1911	2	18	18	41	14	NA	NA	"TAJIKISTAN"	40	"TAJIKISTAN:  USOY, BARCHIDIV, POSOR, NISUR"	38.2	72.8	26	7.4	NA	90	2	NA	NA	NA	NA	NA	3	NA	3	NA	3	90	2	NA	NA	NA	NA	NA	3	NA	3	NA	NA	7	14
"48"	""	1911	4	18	18	14	27.5	NA	NA	"IRAN"	140	"IRAN:  RAVAR"	30.46	56.305	15	6.5	8	700	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	700	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	6	138
"49"	""	1911	6	7	11	2	42	NA	NA	"MEXICO"	150	"MEXICO:  MICHOACAN"	17.5	-102.5	11	7.9	NA	45	1	NA	NA	22	1	NA	NA	NA	NA	NA	NA	45	1	NA	NA	22	1	NA	NA	NA	NA	NA	NA	7	53
"50"	""	1911	6	15	14	26	NA	1396	NA	"JAPAN"	30	"JAPAN:  RYUKYU ISLANDS"	28	130	160	8	NA	12	1	NA	NA	NA	NA	NA	3	422	3	NA	NA	12	1	NA	NA	NA	NA	NA	3	422	3	NA	NA	8	63
"51"	""	1912	1	24	16	23	14	3501	NA	"GREECE"	130	"GREECE:  ASPROGERAKAS (KEPHALLENIA)"	37.928	21.013	15	6.4	10	8	1	NA	NA	40	1	NA	2	NA	NA	NA	NA	8	1	NA	NA	40	1	NA	2	NA	NA	NA	NA	6	46
"52"	""	1912	8	9	1	29	2.1	2325	NA	"TURKEY"	140	"TURKEY:  MARMARA SEA"	40.73	27.121	15	7.2	NA	2800	4	NA	NA	7000	4	NA	4	24700	4	15400	4	2800	4	NA	NA	7000	4	NA	4	24700	4	15400	4	7	104
"53"	""	1913	3	14	8	45	4.3	1407	585	"INDONESIA"	170	"INDONESIA:  SANGIHE ISLAND"	5.354	126.121	15	7.8	9	138	3	NA	NA	NA	2	NA	2	NA	3	NA	NA	138	3	NA	NA	NA	2	NA	2	NA	3	NA	NA	7	125
"54"	""	1913	3	24	10	34	NA	NA	NA	"IRAN"	140	"IRAN:  TEYHAN"	26.8	53.7	NA	5.8	NA	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	138
"55"	""	1913	11	4	21	33	NA	NA	NA	"PERU"	160	"PERU:  AMYARAES, ABANCAY, CASAYA, SORAYA"	-14.2	-72.9	10	6.3	10	150	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	150	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	6	67
"56"	""	1913	12	21	15	37	38	NA	NA	"CHINA"	30	"CHINA:  YUNNAN PROVINCE"	24.15	102.45	10	7	9	942	3	NA	NA	112	3	NA	3	NA	4	NA	NA	942	3	NA	NA	112	3	NA	3	NA	4	NA	NA	7	152
"57"	""	1914	1	12	NA	NA	NA	1412	867	"JAPAN"	30	"JAPAN:  SAKURIJIMA"	31.58	130.67	NA	7.1	NA	29	1	NA	NA	NA	NA	NA	1	120	3	NA	NA	63	1	NA	NA	112	3	19	3	2268	4	NA	NA	7	63
"58"	""	1914	3	15	20	0	6	NA	NA	"JAPAN"	30	"JAPAN:  SENHOKU"	39.2	139.8	33	7.2	NA	94	2	NA	NA	NA	NA	NA	3	640	3	NA	NA	94	2	NA	NA	NA	NA	NA	3	640	3	NA	NA	7	63
"59"	""	1914	5	8	18	1	NA	NA	NA	"ITALY"	130	"ITALY:  CATANIA, ETNA"	37.7	15.2	NA	4.9	10	120	3	NA	NA	NA	NA	NA	3	223	3	NA	NA	120	3	NA	NA	NA	NA	NA	3	223	3	NA	NA	4	42
"60"	""	1914	6	25	19	7	25.9	1418	NA	"INDONESIA"	60	"INDONESIA:  SUMATERA"	-3.924	101.82	35	7.6	NA	20	1	NA	NA	20	1	NA	1	NA	1	NA	NA	20	1	NA	NA	20	1	NA	1	NA	1	NA	NA	7	125
"61"	""	1914	8	4	22	41	6	NA	NA	"CHINA"	40	"CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE(SINKIANG)"	43.5	91.5	NA	7.5	8	1	1	NA	NA	NA	NA	NA	1	NA	2	NA	NA	1	1	NA	NA	NA	NA	NA	1	NA	2	NA	NA	7	152
"62"	""	1914	10	3	22	6	34	NA	NA	"TURKEY"	140	"TURKEY:  BURDUR, KILINC, KECIBORLU, ISPARTA"	37.82	30.27	NA	7	9	4000	4	NA	NA	700	3	NA	4	17000	4	NA	NA	4000	4	NA	NA	700	3	NA	4	17000	4	NA	NA	7	104
"63"	""	1914	11	27	14	39	42.6	1420	NA	"GREECE"	130	"GREECE:  LEUKAS ISLAND"	38.582	20.587	15	6.3	9	14	1	NA	NA	NA	NA	NA	3	NA	3	NA	2	14	1	NA	NA	NA	NA	NA	3	NA	3	NA	2	6	46
"64"	""	1915	1	13	6	52	38	NA	NA	"ITALY"	130	"ITALY:  MARSICA, AVEZZANO, ABRUZZI"	42	13.5	10	7.5	11	29978	4	NA	NA	NA	NA	60	4	NA	NA	NA	NA	29978	4	NA	NA	NA	NA	60	4	NA	NA	NA	NA	7	42
"65"	""	1915	6	23	4	56	0	NA	NA	"USA"	150	"CALIFORNIA:  EL CENTRO"	32.8	-115.5	NA	6.2	NA	6	1	NA	NA	NA	3	0.9	1	NA	NA	NA	NA	6	1	NA	NA	NA	3	0.9	1	NA	NA	NA	NA	6	36
"66"	""	1915	12	3	2	39	19	NA	NA	"CHINA"	40	"CHINA:  TIBET (XIZANG PROVINCE)"	29.5	91.5	NA	7	9	170	3	NA	NA	NA	NA	NA	2	NA	3	NA	NA	170	3	NA	NA	NA	NA	NA	2	NA	3	NA	NA	7	152
"67"	""	1916	8	16	7	6	22.2	3811	NA	"ITALY"	130	"ITALY:  RIMINI"	44.035	13.009	NA	6	9	4	1	NA	NA	60	2	NA	3	NA	NA	NA	NA	4	1	NA	NA	60	2	NA	3	NA	NA	NA	NA	6	42
"68"	""	1916	8	28	7	27	5	NA	NA	"TAIWAN"	30	"TAIWAN"	23.7	120.9	NA	6.5	8	180	3	NA	NA	NA	NA	NA	2	614	3	NA	NA	180	3	NA	NA	NA	NA	NA	2	614	3	NA	NA	6	54
"69"	""	1916	11	14	22	31	33	NA	NA	"TAIWAN"	30	"TAIWAN"	24	121	NA	6	NA	1	1	NA	NA	20	1	NA	1	97	2	NA	NA	1	1	NA	NA	20	1	NA	1	97	2	NA	NA	6	54
"70"	""	1917	1	4	16	50	6	NA	NA	"TAIWAN"	30	"TAIWAN:  PULI"	23.9	120.9	NA	6.3	NA	54	2	NA	NA	85	2	NA	1	130	3	NA	NA	54	2	NA	NA	85	2	NA	1	130	3	NA	NA	6	54
"71"	""	1917	1	20	23	11	34	1439	NA	"INDONESIA"	60	"INDONESIA:  BALI"	-7	116	NA	6.6	9	1500	4	NA	NA	NA	NA	NA	2	NA	2	NA	NA	1500	4	NA	NA	NA	NA	NA	2	NA	2	NA	NA	6	125
"72"	""	1917	1	31	3	39	55	1442	NA	"PHILIPPINES"	170	"PHILIPPINES:  S MINDANAO:  GLAN,GLAN PADIDU,TUYAN"	6	125	NA	6.4	9	7	1	NA	NA	2	1	NA	2	NA	2	NA	NA	7	1	NA	NA	2	1	NA	2	NA	2	NA	NA	6	49
"73"	""	1917	7	30	23	54	5	NA	NA	"CHINA"	30	"CHINA:  YUNNAN PROVINCE"	28	104	33	6.8	9	1800	4	NA	NA	NA	NA	NA	4	NA	4	NA	NA	1800	4	NA	NA	NA	NA	NA	4	NA	4	NA	NA	6	152
"74"	""	1917	8	31	11	36	18	NA	NA	"COLOMBIA"	160	"COLOMBIA:  BOGOTA, UBAQUE, SOACHA, CAQUEZA"	4	-74	40	7.3	8	6	1	NA	NA	NA	2	NA	1	NA	1	NA	NA	3	1	NA	NA	NA	2	NA	1	NA	1	NA	NA	7	32
"75"	""	1917	12	26	4	30	NA	NA	NA	"GUATEMALA"	100	"GUATEMALA:  GUATEMALA CITY"	14.6	-90.6	NA	6	NA	2650	4	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	2650	4	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	6	15
"76"	""	1918	2	13	6	7	13	1451	NA	"CHINA"	30	"CHINA:  GUANGDONG PROVINCE"	23.5	117.2	23	7.3	10	2000	4	NA	NA	NA	4	NA	4	NA	4	NA	NA	2000	4	NA	NA	NA	4	NA	4	NA	4	NA	NA	7	152
"77"	""	1918	4	21	22	32	30.4	NA	NA	"USA"	150	"CALIFORNIA: SAN JACINTO, HEMET"	33.762	-116.972	10	6.7	10	1	1	NA	1	NA	NA	0.2	1	NA	NA	NA	NA	1	1	NA	NA	NA	1	0.2	1	NA	NA	NA	NA	6	36
"78"	""	1918	8	15	12	18	12	1456	NA	"PHILIPPINES"	170	"PHILIPPINES:  MINDANAO:  COTABATO"	5.5	123	33	8.3	10	46	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	52	2	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	8	49
"79"	""	1920	1	3	21	48	3	NA	NA	"MEXICO"	150	"MEXICO:  VERACRUZ: COZAUTLAN, PUEBLA: PATLANALA"	19.26	-96.97	NA	7.8	10	648	3	NA	NA	167	3	NA	2	NA	NA	NA	NA	648	3	NA	NA	167	3	NA	2	NA	NA	NA	NA	7	53
"80"	""	1920	6	5	4	21	28	NA	NA	"TAIWAN"	30	"TAIWAN"	23.5	122.7	NA	8	NA	5	1	NA	NA	20	1	NA	2	273	3	NA	NA	5	1	NA	NA	20	1	NA	2	273	3	NA	NA	8	54
"81"	""	1920	9	7	5	55	40	NA	NA	"ITALY"	130	"ITALY:  CARRARA,GARFAGNANA"	44.3	10.3	10	5.8	10	1400	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1400	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	42
"82"	""	1920	11	26	8	51	7	NA	NA	"ALBANIA"	130	"ALBANIA:  TEPELENE, DRAGOTI, PESHTANI, MARICAJ"	40.2	20	25	6.2	11	200	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	200	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	6	11
"83"	""	1920	12	16	12	5	54.7	3541	NA	"CHINA"	30	"CHINA:  GANSU PROVINCE, SHANXI PROVINCE"	36.601	105.317	25	8.3	12	200000	4	NA	NA	NA	NA	25	4	NA	NA	NA	NA	200000	4	NA	NA	NA	NA	25	4	NA	NA	NA	NA	8	152
"84"	""	1920	12	17	18	59	49	NA	NA	"ARGENTINA"	160	"ARGENTINA:  MENDOZA"	-32.7	-68.4	10	6	8	400	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	400	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	6	8
"85"	""	1922	2	27	20	39	50	1498	NA	"PHILIPPINES"	170	"PHILIPPINES:  CEBU ISLAND, MACTAN ISLAND"	10.2	124.1	NA	6.3	5	5	1	NA	NA	NA	NA	NA	2	NA	NA	NA	2	5	1	NA	NA	NA	NA	NA	2	NA	NA	NA	2	6	49
"86"	""	1922	9	1	19	16	6	1503	NA	"TAIWAN"	30	"TAIWAN"	24.5	122	NA	7.6	NA	5	1	NA	NA	7	1	NA	2	139	3	NA	NA	5	1	NA	NA	7	1	NA	2	139	3	NA	NA	7	54
"87"	""	1922	11	11	4	32	36	1505	NA	"CHILE"	160	"CHILE:  ATACAMA"	-28.553	-70.755	35	8.7	11	500	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	700	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	8	43
"88"	""	1923	3	24	12	40	6	NA	NA	"CHINA"	30	"CHINA:  SICHUAN PROVINCE"	31.5	101	13	7.3	10	4800	4	NA	NA	NA	NA	NA	3	NA	4	NA	NA	4800	4	NA	NA	NA	NA	NA	3	NA	4	NA	NA	7	152
"89"	""	1923	5	25	22	21	37	NA	NA	"IRAN"	140	"IRAN:  TURBAT-HAKLARI"	31.308	56.1	15	6	10	2200	4	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	2200	4	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	6	138
"90"	""	1923	9	1	2	58	37	1526	NA	"JAPAN"	30	"JAPAN:  TOKYO, YOKOHAMA"	35.1	139.5	35	7.9	NA	142807	4	43476	4	47000	4	600	4	NA	NA	NA	NA	142807	4	43476	4	47000	4	600	4	695000	4	NA	NA	7	63
"91"	""	1923	9	9	22	3	46.7	NA	NA	"BANGLADESH"	60	"BANGLADESH:  MYMENSINGH"	24.969	90.752	15	6.9	NA	50	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	50	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	5
"92"	""	1923	9	17	7	9	7	NA	NA	"IRAN"	140	"IRAN:  QALEH JAQ KMEN:  BODZHNURD"	37.2	57.7	NA	6.4	9	157	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	157	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	6	138
"93"	""	1923	9	22	20	47	43	NA	NA	"IRAN"	140	"IRAN:  SIRJAN"	29.222	56.839	15	6.7	8	290	3	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	290	3	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	138
